Year,Month,Day,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1992,6,21,0,0,7.5,0,0.4,0,0,0.5,0,0,0,0,4,0.5,1.5,0,0,0,0.5,0,0.5,7.5,0,0
1992,6,22,0,16.8,40.5,0,4.4,0,17,58,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0
1992,6,23,0,4.4,45,0.5,1.4,0,33,50.5,0,0,0,0,0,0,21.5,0,7.5,0,0.5,5,0,0,0,0
1992,6,24,0,0,1,0.5,0,0,4.5,0,0,0,0,0,0,3.5,2.5,0,34.5,0,0.5,0,0,0,0,0
1992,6,25,20.1,0.3,119.5,0,0,0,0,0,0,2.5,0,0,0,156.5,0.5,0,7.5,0,4,0,0,0,0,0
1992,6,26,22.1,0,76,0,0,0,31,0,0,14,0,0,0,7,0,0,4.5,0,0,0,0,3.5,1.5,22.5
1992,6,27,17.4,3.6,42,0,0,0,0,0,0,0,0,0,0,24,1.5,0,0,0,11.5,0,0,0,0,37.5
1992,6,28,0,0.4,0,0.5,0,0,3,0,0,0,0,0,0,3,6.5,0,0,0,0,0,0.5,6.5,0,0
1992,6,29,15,1,0,0.5,0,0,3.5,0,0,0,0,0,0,2.5,1,6.5,1.5,2.5,0,0,0,0,0,0
1992,6,30,4.6,0.2,0,0,1.2,0,48.5,0,0,0,0,0,1.5,1,1.5,2,0,0,0,0,1,0,0,0
1992,7,1,0,0.7,0,0,1.7,0,118.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,58.5,0,0,0
1992,7,2,0,39.6,0,0,0.2,0,14,0,0,0,0,0,0,0,0,0,0,0,13,2,96,0,0,6.5
1992,7,3,0,3.7,0,0,2.5,0,6,0,0,0,0,0,0.5,38,2,0,23,0,1.5,0,84,0,0,1.5
1992,7,4,0,0.3,0,0,1.1,0,0,0,0,0,0,0,1,1,1.5,0,0,0,0,9,1.5,0,0,0
1992,7,5,0,0,0,0,8.7,0,1.5,1,0,0,0,0,0,4.5,0.5,0,0,0,62.5,0.5,0,7.5,0,0
1992,7,6,3.3,0,2,0,0,0,5,0,0,0,0,0,0,2,1.5,0,11,0,94.5,1,0,1.5,0,0
1992,7,7,11.6,0,0,0,0,0,0,1,0,0,0,0,0.5,2.5,2,0,8,1,3,0,29.5,4.5,0,0
1992,7,8,0,0,7.5,0,0,0,0,0,0,0,0,0,4.5,0,0.5,0.5,0,1,0,0,73,0,0,0
1992,7,9,0,0,0,0.5,9.4,0,4.5,0,0,0,0,0,15,0,1,0,0.5,3.5,0,0,24.5,0,0,0.5
1992,7,10,0.2,14.6,0,0.5,0,0,3,19,0,0,0,0,5.5,0,1,2.5,25,2.5,0,0,24,2,0,4
1992,7,11,24.1,4.4,12.5,0,0,0,44,20,0,0,0,0,0,0,0.5,5.5,0,7.5,0,0,20.5,0,0,0
1992,7,12,23.6,0.1,7.5,0,0,0,7,60.5,1.5,0,6,0,0,2.5,0.5,21,0,0.5,0,3.5,0,0,0,0
1992,7,13,0,0,52.5,0,0.4,0,0,1,0,1,0,0,0,1.5,0.5,11,2.5,0,106.5,0,0,4,0,0
1992,7,14,0,0,1,0,0.1,0,0,0,0.5,0,0,0,0,0,0,1.5,2.5,1.5,156.5,0,4.5,0,0,0
1992,7,15,0,0.6,0,0,0,0,0,0,1,0,12,0,0,0,0.5,0,2.5,0.5,13.5,15.5,29.5,0,0,0
1992,7,16,0,8.1,0,0,0,0,0,23,0,0,4.5,0,0,0.5,1,0,13.5,1.5,46,3.5,4,0,0,0
1992,7,17,0,22.4,19.5,0,0.1,0,0,184.5,0,0,1.5,0,1,0,0.5,0,0.5,2,3,0,0,0,0,0
1992,7,18,39.1,20.7,154.5,0,0,0,0,3,0,0.5,1,0,12.5,14,0,0,0,0.5,132.5,0,0,0,0,0
1992,7,19,0.6,0,10.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,76.5,0,38.5,0,0,0,0,0
1992,7,20,0.8,0,1,0,0,0,0,0,4,0,0,0,59,8.5,0.5,0,41,0,65.5,0,0,10.5,0,5.5
1992,7,21,Trace,2.8,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,1,6
1992,7,25,3.9,24.4,0,0,0,0,9,26.5,0,0,0,0,0,25,12,1,15.5,0,1,0,0,0,1.5,1
1992,7,26,4.3,8.5,38,0,0,0,0,136,0.5,0,0,0,9,5.5,1.5,2,12.5,0,12.5,5,11.5,0,4,1
1992,7,27,2.5,14.5,124,0,0,0,5.5,4,0,0,3.5,0,0,4.5,4,0,36,0,51,17.5,38.5,0,1.5,0
